pid,zipcode,own_occ,av_total,land_sf,yr_built,yr_remod,living_area,num_floors,structure_class,r_bldg_styl,r_roof_typ,r_ext_fin,r_total_rms,r_bdrms,r_full_bth,r_half_bth,r_bth_style,r_kitch,r_kitch_style,r_heat_typ,r_ac,r_fplace,r_ext_cnd,r_ovrall_cnd,r_int_cnd,r_int_fin,r_view,zip,Population,Pop_Density,Median_Income,City_State
105620,2131,Y,347100,5225,1966,0,1470,2,R,CL,G,W,7,4,1,1,S,1,N,W,N,1,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
105630,2124,Y,340600,3289,1920,0,948,1,R,BW,G,M,5,2,1,0,N,1,S,W,N,0,A,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
105640,2132,Y,560000,7400,1920,0,2218,2,R,CL,H,S,8,4,1,1,S,1,S,W,N,1,F,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
105670,2132,Y,490100,5800,1915,2013,1688,2,R,CL,G,M,7,3,1,1,N,1,M,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
105680,2131,Y,362800,6396,1958,0,936,1,R,RN,G,M,6,3,1,0,S,1,S,W,N,1,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
105700,2132,Y,395100,6576,1955,0,1220,1,R,RN,G,M,6,2,1,0,S,1,S,W,N,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
105710,2124,Y,388900,5554,1955,0,1855,2,R,CL,G,M,6,3,1,1,S,1,S,W,N,1,A,A,A,N,G,02124,47783,15913,48841,"Dorchester Center, MA"
105730,2131,Y,524900,11407,1915,0,1748,2,R,CL,G,W,6,3,2,0,S,1,M,W,N,1,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
105740,2131,Y,393300,8774,1900,0,2033,2,R,CL,G,M,7,3,2,0,S,1,S,W,N,0,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
105750,2136,Y,402200,8230,1940,2006,1972,1.5,R,CP,G,M,8,3,3,0,M,1,S,W,C,2,A,A,G,N,A,02136,28488,6207,58890,"Hyde Park, MA"
