created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quoted_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,retweeted_status,text,favorited_by,scopes,display_text_width,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-03-31T01:55:24Z,1641620175391805400,1641620175391805443,"Just one question, Governor: did you even see the indictment before sending this tweet? https://t.co/bAbjoPoYm7",FALSE,87,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1641582374411550700,1641582374411550720,,,2145,29552,FALSE,FALSE,FALSE,en,,"Just one question, Governor: did you even see the indictment before sending this tweet? https://t.co/bAbjoPoYm7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-30T23:01:53Z,1641576509172334600,1641576509172334593,"Oh! Are we proposing trades now? If so, I’d be happy to offer McCarthy a spine in exchange for some gun safety legislation https://t.co/0ZZ7ALPWHG",FALSE,122,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1641483253772169200,1641483253772169229,,,4226,55364,FALSE,FALSE,FALSE,en,,"Oh! Are we proposing trades now? If so, I’d be happy to offer McCarthy a spine in exchange for some gun safety legislation https://t.co/0ZZ7ALPWHG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-30T22:57:00Z,1641575280274813e3,1641575280274812928,"RT @nytimes: Breaking News: A grand jury in New York has voted to indict Donald Trump over his role in a hush money payment to a porn star,…",FALSE,140,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,NA,NA,,,15222,0,FALSE,FALSE,NA,en,,"RT @nytimes: Breaking News: A grand jury in New York has voted to indict Donald Trump over his role in a hush money payment to a porn star,…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-30T19:29:09Z,1641522973201907700,1641522973201907713,"You bet I did. NYC doesn’t play with bigots and transphobes and neither do I.

Have a great day! 🙂🏳️‍⚧️💕 https://t.co/yM2xMhAJ4H",FALSE,104,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1641519491791069200,1641519491791069200,,,16209,205402,FALSE,FALSE,FALSE,en,,"You bet I did. NYC doesn’t play with bigots and transphobes and neither do I.

Have a great day! 🙂🏳️‍⚧️💕 https://t.co/yM2xMhAJ4H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-28T20:00:06Z,1640805986674921500,1640805986674921493,"RT @therecount: “It’s almost as if you gave a pen to an oil lobbyist and wrote down everything that they’d want.”

— Rep. @AOC (D-NY) slams…",FALSE,140,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,NA,NA,,,919,0,FALSE,FALSE,NA,en,,"RT @therecount: “It’s almost as if you gave a pen to an oil lobbyist and wrote down everything that they’d want.”

— Rep. @AOC (D-NY) slams…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-28T00:08:04Z,1640506003039944700,1640506003039944705,"RT @PabloReports: Asked by @EricMGarcia re: Rep. Taylor Greene's latest transphobic tweet, @AOC didn't waffle: ""It's absolutely disgusting…",FALSE,139,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,NA,NA,,,451,0,FALSE,FALSE,NA,en,,"RT @PabloReports: Asked by @EricMGarcia re: Rep. Taylor Greene's latest transphobic tweet, @AOC didn't waffle: ""It's absolutely disgusting…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-27T22:19:40Z,1640478721642582e3,1640478721642582017,“It’s déjà vu all over again” https://t.co/6zpF4vL9K0,FALSE,29,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1640220050245443600,1640220050245443585,,,404,3708,FALSE,FALSE,FALSE,fr,,“It’s déjà vu all over again” https://t.co/6zpF4vL9K0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-25T18:53:08Z,1639701970557587500,1639701970557587458,RT @RepRobertGarcia: I just exited the DC Jail on behalf of @OversightDems. The actions of our Republican colleagues inside the facility an…,FALSE,140,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,NA,NA,,,6560,0,FALSE,FALSE,NA,en,,RT @RepRobertGarcia: I just exited the DC Jail on behalf of @OversightDems. The actions of our Republican colleagues inside the facility an…,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-24T17:45:34Z,1639322577922293800,1639322577922293760,"RT @RepAOC: Republicans say they oppose government overreach.  But, they're the ones passing bills that ban books in our libraries. Even th…",FALSE,140,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,NA,NA,,,8375,0,FALSE,FALSE,NA,en,,"RT @RepAOC: Republicans say they oppose government overreach.  But, they're the ones passing bills that ban books in our libraries. Even th…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-23T23:35:46Z,1639048320458031e3,1639048320458031104,And they’re rolling this out on April Fool’s day 🙂,FALSE,50,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1639048129407488e3,1639048129407488001,138203134,138203134,AOC,,,,NA,FALSE,NA,NA,,,602,18463,FALSE,FALSE,NA,en,,And they’re rolling this out on April Fool’s day 🙂,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
