status_id,tweet_id,created_at,screen_name,text,is_retweet
1290993860915732481,1,2020-08-05T12:51:36Z,mark_bauerlein,"@JackPosobiec To the electorate, Joe Biden is not Joe Biden. He is merely “Not-Trump.” What he actually says is not that important, only that he is “Not- Trump.” This is a one-person election.",FALSE
1290993860001308672,2,2020-08-05T12:51:36Z,RefDemo,"People are already voting for president without any debates (where they would see @joebiden is non compos mentis) and without knowing Joe Biden’s Vice President, the likely 47th Presidemt of the United States, should he win.

This, and massive fraud, is the Democrats’ strategy. https://t.co/8uth5tiGIl",FALSE
1290993855261749248,3,2020-08-05T12:51:35Z,AmericanOptima,"Joe Biden ... on Cocaine, anyone?

https://t.co/h6SyaMCx4m",FALSE
1290993853001076737,4,2020-08-05T12:51:34Z,cammyferr,@itsJeffTiedrich @realDonaldTrump Just curious...Are you leaving the country when Trump is re-elected?  You and I both  know there are not enough anti American left radicals to vote cognitive declining Joe Biden into office.  🤔,FALSE
1290993851772084224,5,2020-08-05T12:51:34Z,JuanERo70451092,Joe Biden is in a stage that he needs to retire!... Period!... https://t.co/DbYZiH9R69,FALSE
1290993840871165956,6,2020-08-05T12:51:31Z,Sand_InToes2013,Read my lips Joe Biden will not DEBATE PRESIDENT TRUMP!,FALSE
1290993704010948615,7,2020-08-05T12:50:59Z,Sand_InToes2013,"If Joe Biden is going to debate,  why didn't he interview on fox instead of Jill?",FALSE
1290993829026377729,8,2020-08-05T12:51:29Z,JohnnieCrunch,"Biden tells Trump ""just do your job""!
Trump chuckles, ""Go fuck yourself,  Joe.""",FALSE
1290993817609527296,9,2020-08-05T12:51:26Z,cypresspoint14,The GOP Released a Megamix of Joe Biden Talking Nonsense. It's Pretty Long... https://t.co/TldE8klPTr via @scrowder,FALSE
1290993806674886657,10,2020-08-05T12:51:23Z,wokebetch,"@AndrewHClark If we just let Joe Biden talk uninterrupted for long enough, he'll eventually tell us to C'mon man - just vote for the president. Look, if you can't tell the difference between a elephant and a turtle, you're um. Hey Look man. I've been here for years with blonde leg hair.",FALSE
1290993799121047553,11,2020-08-05T12:51:21Z,1976Renata1,"@ABC Joe Biden is not campaigning.  Joe Biden is not doing interviews. Joe Biden is not taking spontaneous questions from reporters. Joe Biden barely leaves his house. Joe Biden does not leave Delaware. Joe Biden is seriously ill with Dementia, Aphasia &amp; old age.",FALSE
1290993794586943490,12,2020-08-05T12:51:20Z,craigan02916222,"@Jordan_Sather_ Kamala Harris is great friends with Spotify owners and the DNC is running a campaign against his close friends. Joe wouldn't have Warren, Biden or Harris on. Also worth noting his guest runs an Orbis type oppo research smear company.",FALSE
1290993792770662400,13,2020-08-05T12:51:20Z,MojozRiffRaff,"@CNN Q? Through this entire Pandemic, have you heard one Democrat including Joe Biden offer a better solution? I sure as hell haven’t, but they’ve all pointed fingers. Before you vote, ask yourself how the Democrats woukd handles COVID-19 and count yourself lucky you’re still alive to https://t.co/40ZuaPjUjG",FALSE
1290993773598523394,14,2020-08-05T12:51:15Z,RobertR19207719,"Who are the democrats running for President,
Joe Biden or Jill Biden?",FALSE
1290993770348130304,15,2020-08-05T12:51:15Z,nigel_branson,"@JoeBiden While Joe Biden attacks President Donald Trump for not doing enough to end the corona-virus epidemic, he was  criticizing the president's decision to ban travel from China in January. Joe Biden: ""It is in our self interest that China continues to prosper.""",FALSE
1290993768594903040,16,2020-08-05T12:51:14Z,THEUSAEXPRESS1,Joe Biden Campaign To Spend $280 Million On Ads In 15 States - https://t.co/G8qU4qOc3y Biden Campaign To Spend $280 Million On Ads In 15 StatesJoe Biden Campaign To Spend $280 Million On Ads In 15 States https://t.co/EsX8rNmq33,FALSE
1290936134571364353,17,2020-08-05T09:02:13Z,THEUSAEXPRESS1,Eric Trump Gets Blunt Reality Check Over ‘America Is Roaring Back To Life’ Boast - https://t.co/Csad8NbqY3 Trump Gets Blunt Reality Check Over ‘America Is Roaring Back To Life’ BoastEric Trump Gets Blunt Reality Check Over ‘America Is Roaring Back To Life’ Boast https://t.co/34eNJ8WfqU,FALSE
1290993738924335104,18,2020-08-05T12:51:07Z,MediaShrink,"@Morning_Joe @argonzales USA Screams 
Where’s “Hiden Biden???! “ 
DemocRATS, Media  &amp; Every Obama Clinton Leftover &amp; Flunky Cant Save #CommunistChina Puppey Racist Joe Biden  Or #WhiteElite DNCRigged   Hillary  VP After #EpsteinFiles https://t.co/WVFSQffNuG https://t.co/DZHR6ORUX9",FALSE
1290990986718523393,19,2020-08-05T12:40:11Z,MediaShrink,"@Morning_Joe @argonzales Obama’s Roy Cohen , Janet Lynch ????   So Busy Covering Up Obama Biden Hillary Bill Clinton Crimes Desserted ALL Blacks Like Eric Garner!’   https://t.co/sTjX8gApyt https://t.co/oIlUpQnc9C",FALSE
1290993735682195457,20,2020-08-05T12:51:06Z,deafwatchman777,@catturd2 In the basement with Joe Biden having an orgy.,FALSE
1290993726886744064,21,2020-08-05T12:51:04Z,LibertatemPax,"@laurenboebert Joe Biden seriously just asked a black reporter if he was a cocaine junkie when he was the one who wrote the early 90s drug laws that destroyed African-American families with huge prison time. How does CNN, MSNBC not call him out on this constant, overt racist shit he spouts?😮",FALSE
1290993722897903617,22,2020-08-05T12:51:03Z,MoralesPiko,"Joe should help Trump to combat his fear of debating him. Biden should allow Trump's kids to join him. ""Four against one"" type of thing. It's only fair to have combined IQ on the same level on both sides. Otherwise Joe might as well debate a walrus.",FALSE
1290993714928791552,23,2020-08-05T12:51:01Z,jumpmantwenny3,"@mmpadellan Why doesn’t Biden say it himself? He has everyone under the sun appear other than him. 

Get out from the basement, Joe. There’s a whole campaign to run upstairs 😂",FALSE
1290993710134693888,24,2020-08-05T12:51:00Z,jamesgib1980,"@Atharbhatti2 @ABC yes pretty strange that not long ago it was democrats always holding down blacks, now its democrats always telling blacks how they should think.. see Joe Biden if u dont vote for me u aint black",FALSE
1290895891520421888,25,2020-08-05T06:22:18Z,jamesgib1980,@Indians thats some Joe Biden level rambling there 🤔 https://t.co/yUXObNoP1c,FALSE
1290993706305294337,26,2020-08-05T12:50:59Z,realSmartCookie,@LearnThinkVote @Husky66545351 @paulcshipley @ProjectLincoln @realDonaldTrump I'm not running for office. But from the looks of it Democrats are afraid of Joe Biden going against Trump in a debate.,FALSE
1290986336011325440,27,2020-08-05T12:21:42Z,realSmartCookie,"@LearnThinkVote @Husky66545351 @paulcshipley @ProjectLincoln @realDonaldTrump Joe Biden + 50 years in politics = touching children, and smelling hair.

Trump + First 3 years in politics = Record setting economy, lowest unemployment numbers our country has seen for all backgrounds, border security...the list goes on..go check it out https://t.co/sdfwI2D07V",FALSE
1290993705135083523,28,2020-08-05T12:50:59Z,byedon2020,"@TrumpWarRoom @ErinMPerrine The media, made up of actual Americans, respects and likes Joe Biden.

Sorry.",FALSE
1290993704430456832,29,2020-08-05T12:50:59Z,cursedfan,@DC_Draino I bet Joe Biden thinks it is a breath mint.,FALSE
1290991608209575937,30,2020-08-05T12:42:39Z,cursedfan,@Sassychickie Does Joe Biden think that TikTok is a breath mint?,FALSE
1290993703918743558,31,2020-08-05T12:50:59Z,tsabo24627618,@DonaldJTrumpJr All the worthless FAKE NEWS tabloids are getting on board with the NO DEBATES bus.. they are trying their best to protect their candidate … the corrupt and dementia ridden Joe Biden,FALSE
1290993677628653570,32,2020-08-05T12:50:52Z,SuzieQ69011784,"@mmpadellan Wow! You must Really be in fear of a Presidential Debate along with the Democrats. 19 hours ago in the news:
Will Joe Biden Duck the Debates?
There are growing calls to shield the former Veep from having to perform.",FALSE
1290993667835138053,33,2020-08-05T12:50:50Z,ajmarshian,Inconceivable idiocy. https://t.co/0nfnMFAWB2,FALSE
1290993641851420673,34,2020-08-05T12:50:44Z,Ramsesgust,"@CNN @StCollinson the campaign for pedophile Joe Biden who does not articulate a single word and they write everything to him, 🇺🇲 | #USA: The choreography of the hegemonic means to install in the population that Joe Biden does not attend the debates against Trump has begun ""CNN"" to the front. https://t.co/AfebZ51MCC",FALSE
1290990517384368130,35,2020-08-05T12:38:19Z,Ramsesgust,"@CNNPolitics the campaign for pedophile Joe Biden who does not articulate a single word and they write everything to him, 🇺🇲 | #USA: The choreography of the hegemonic means to install in the population that Joe Biden does not attend the debates against Trump has begun ""CNN"" to the front. https://t.co/4oSCZAOKDZ",FALSE
1290993537870331905,36,2020-08-05T12:50:19Z,Ramsesgust,"@CNNPolitics the campaign for pedophile Joe Biden who does not articulate a single word and they write everything to him, 🇺🇲 | #USA: The choreography of the hegemonic means to install in the population that Joe Biden does not attend the debates against Trump has begun ""CNN"" to the front. https://t.co/111VZC1fZp",FALSE
1290914846716891136,37,2020-08-05T07:37:38Z,Ramsesgust,"@washingtonpost the campaign for pedophile Joe Biden who does not articulate a single word and they write everything to him, 🇺🇲 | #USA: The choreography of the hegemonic means to install in the population that Joe Biden does not attend the debates against Trump has begun ""CNN"" to the front. https://t.co/Sbuarw1Q8A",FALSE
1290993640387600386,38,2020-08-05T12:50:44Z,mpukita,"@RodneyS50688957 @SteveGuest @senatemajldr @realDonaldTrump Dude, ""whataboutism"" is so ""teens"" ... welcome to 2020.

And, please stay on topic or we'll think you have the Joe Biden Syndrome.",FALSE
1290993633441853440,39,2020-08-05T12:50:42Z,MorrisJ65,"""Are you a junkie?""

Like father, like son???

https://t.co/FliwgsdxQH",FALSE
1290993629541040128,40,2020-08-05T12:50:41Z,culaterover,@TeamTrump @TrumpWarRoom @realDonaldTrump Joe Biden is a moderate alright - moderate dementia case.,FALSE
1290993620389068805,41,2020-08-05T12:50:39Z,JonnieReynolds,Joe Biden Campaign To Spend $280 Million On Ads In 15 States https://t.co/kcg1ta8bIk,FALSE
1290993618585518085,42,2020-08-05T12:50:38Z,michaelcfeldman,"Biden Campaign Plans New $280M Ad Push in Pa., 14 Other States https://t.co/bovjJRunao",FALSE
1290993592773771264,43,2020-08-05T12:50:32Z,RB26416392,"@BytheEm @Breaking911 ""Joe Biden creates stories about people he's never met in places he's never been in restaurants and establishments that don't exist.""

Like his claims about getting arrested for trying to meet Nelson Mandela and graduating at the top of his class.

https://t.co/4sVPesgEIb",FALSE
1290993590492110854,44,2020-08-05T12:50:32Z,hitod55,What's wrong Democrats is Biden scared of president Trump Biden hides behind his wife &amp; sister at a rally when two women protesters come on stage. Now Jill Biden is doing interviews for Joe.sorry I want a president with a backbone like president Trump.,FALSE
1290993576814481408,45,2020-08-05T12:50:28Z,ashsoles,"@YahooNews Joe Biden, in a racist attack, accuses a black journalist of being a coke addict. I guess Joe forgot his son was kicked out of the military for cocaine use and white privileged his way out of charges for a crack pipe he left in a rental car.",FALSE
1290993567985541120,46,2020-08-05T12:50:26Z,da_BO_SS,"@AndyOstroy @realDonaldTrump @JoeBiden PATHETIC.   
So we now know... how much he cares for our NATIONAL PARKS....

Wonder if Joe Biden knows what and where, about Yosemite National Park??!

BIDEN OR TRUMP??
Which one 
     is mentally impaired???",FALSE
1290993563774279681,47,2020-08-05T12:50:25Z,duckvision,"I'm Joe Biden, 

I was watching  my beautiful wife Jill on Fox news when she was sitting next to me....
Wow, I feel light headed....
Am I awake?...
Can you hear me?...
CornPop! aviators! Jill Jill Jill....
Who is that!!!!
Hello?....
Barack is that you?
Jill Jill Jill Jill.... https://t.co/02S9Xh8qfq",FALSE
1290993560372817921,48,2020-08-05T12:50:24Z,psephologist,Which brings me to the Presidential. Tom Vilsack had a piece in the Register a few weeks ago flagging numbers among rural voters from the Fox News poll https://t.co/bxNKbICVdh,FALSE
1290993559856971776,49,2020-08-05T12:50:24Z,Freebird428,The GOP Just Released a 46 Minute Video of Joe Biden Talking Nonsense https://t.co/YoDOj1EcEv,FALSE
1290993558997143552,50,2020-08-05T12:50:24Z,Joe_in_Indiana,"@John_Kass John, a great slogan—‘Joe ‘Banana Republic’ Biden’. It has a certain ring to it.",FALSE
