status_id,tweet_id,created_at,screen_name,text,is_retweet
1290269190104813568,1,2020-08-03T12:52:01Z,DidlyFrancesco,"2 Americans just landed safely after spending 2 months in space.

11 years ago, an Obama committee concluded that would take 12 years and cost $26 billion. Elon Musk did it in 6 years-- for less than $1 billion. 

Private competition is always better. #SplashDown #LaunchAmerica",FALSE
1290267397069316097,2,2020-08-03T12:44:54Z,batmanjeremyw,"In the past we were worried about space infecting earth. Nowadays, we're worried about earth infecting the astronauts. lol #SpaceXDragon #SplashDown #SpaceX",FALSE
1290266903861055492,3,2020-08-03T12:42:56Z,leonorden,"""Thanks for flying @SpaceX."" 
#SpaceXDragon #Demo2 #SplashDown",FALSE
1290266281749315584,4,2020-08-03T12:40:28Z,DODGERFAN1966,Well Done #SpaceX Proud Day for USA🇺🇸#ElonMusk #PersonOfTheYear💪🏻  #Splashdown #SpaceX #NASA To all thehaters who didn’t believe👻🙀💩❗️The USA 🇺🇸 isbackxin The Space Business. #ManonTheMoon 🚀🌙 🇺🇸 #SpaceXMatters 💪🏻🙌🏻🇺🇸🇺🇸💯❗️@realDonaldTrump @Astro_Doug @AstroBehnken @Mike_Pence https://t.co/rdRpOjA4Tt,FALSE
1290265671389962240,5,2020-08-03T12:38:02Z,MD_Gator,“Your smile is the simplest miracle that you can create”. #MondayMotivaton #starshine #SplashDown #ComingSoon #Smile https://t.co/zv4tpDKZNU https://t.co/iXo5n3g8VI,FALSE
1290264528836419585,6,2020-08-03T12:33:30Z,mattelove5739,It still upsets me that with all of the technology we have the best way for astronauts to get home is just to fall. #nasa #SpaceX #SplashDown,FALSE
1290262487779090432,7,2020-08-03T12:25:23Z,uspavilion,KallmanEWC: Congratulations @NASA  and @SpaceX 👏🏼👏🏼👏🏼 #SplashDown https://t.co/UwEgN48PP4,FALSE
1290262264830816256,8,2020-08-03T12:24:30Z,PhilGuba,"Whas this @elonmusk? 

#SplashDown #SpaceX 
#SpaceXDragon https://t.co/EyD3oKFFAG",FALSE
1290261492604887047,9,2020-08-03T12:21:26Z,MarineTraffic,"MarineTraffic past track video shows the ship’s movements at the #splashdown location until the time it arrived at the port of Alleghany, in the Gulf of Mexico.

Welcome back to Earth, @Astro_Doug and @AstroBehnken https://t.co/jV0HO1TEZc",FALSE
1290261473881657346,10,2020-08-03T12:21:21Z,rdwebster,"https://t.co/yBxju85gYt

In case you missed the historic #NASA #splashdown. . .

#RobertBehnken #DouglasHurley #SplashDownSuccess #Space #SpaceXSplashdown #InternationalSpaceStation #SpaceXCrewDragon",FALSE
1290256415647395840,11,2020-08-03T12:01:15Z,metasimian,"Not the first to tweet this but still an amazing finish...
#spacex #dragon #splashdown
https://t.co/phER16FDbv",FALSE
1290254742405304321,12,2020-08-03T11:54:37Z,DecimoGianni,Splash down 🚀 #SplashDown #NASA #3agosto #Space,FALSE
1290254571428646912,13,2020-08-03T11:53:56Z,NSIguy,NASA and SpaceX astronauts complete first splashdown to Earth in 45 years https://t.co/bl2mMKe1x9 #spaceX #nasa #astronauts #splashdown,FALSE
1290254505389330433,14,2020-08-03T11:53:40Z,Onessa_Cs,"sadly, I`ve missed this one.. but I`m happy to see the reruns. 
#spacex #SplashDown  #newera https://t.co/rueq0xPbmF",FALSE
1290249713837469696,15,2020-08-03T11:34:38Z,KallmanEWC,Congratulations @NASA  and @SpaceX 👏🏼👏🏼👏🏼 #SplashDown https://t.co/ZvlOC20KMl,FALSE
1290249534543523841,16,2020-08-03T11:33:55Z,KentMedwaySTEM,"To start #Space Week why not re-live the #splashdown of #crewdragon. Visit: https://t.co/19U7uo6ppE 

Amazing to see history with first crewed US water landing since the final outing of an #Apollo command module 45 years ago.

#SpaceX #LaunchAmerica #summerofstem #homelearninguk https://t.co/n83yejnMmw",FALSE
1290248354044076033,17,2020-08-03T11:29:13Z,mrs_petrone,@AstroBehnken @SpaceX @Space_Station So proud of you and @Astro_Doug and everyone involved.  So glad you are home safe.  #SplashDown #SpaceX #Dragon,FALSE
1290248093921755139,18,2020-08-03T11:28:11Z,shopwithduch,"Good hair, good life💯 
Get 2 for price of 1
Buy one get on free
Buy now pay later 
Click on @bellabraided , visit https://t.co/9WFnS6cHta 
#NASA #splashdown #launchamerica
#BBNaijaLockdown 
#bellabraidedwigs 
#bellabraidedwigsus
#bellabraidedwigsng
#Augustsales
#BlackIsKing https://t.co/DFWAN7YZpd",FALSE
1290246251347206145,19,2020-08-03T11:20:52Z,Sarah82439904,@SpaceX @Space_Station @AstroBehnken @Astro_Doug Hello from india i hope the astronauts are healthy #SplashDown,FALSE
1290245033740742657,20,2020-08-03T11:16:02Z,flynnbeck,Only in the last several years could I say that I too truly appreciate a water landing! 💦 #SplashDown,FALSE
1290244892904452096,21,2020-08-03T11:15:28Z,AlanVMichaels,"Better SpaceX pics of @AstroBehnken and @Astro_Doug’s return...

#SpaceX
#NASA
#SplashDown
📷 SpaceX https://t.co/guEMZlqjJh",FALSE
1290016770854662146,22,2020-08-02T20:09:00Z,AlanVMichaels,"Aaaannndddd .... they’re out of the capsule. 

Finally!

Welcome back to Earth, @AstroBehnken and @Astro_Doug!

#SpaceX
#NASA
#SplashDown
📷 NASA TV https://t.co/FyPz21ZL1P",FALSE
